Record Date,Security Type Description,Security Class Description,Debt Held by the Public (in Millions),Intragovernmental Holdings (in Millions),Total Public Debt Outstanding (in Millions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2001/1/31,Marketable,Bonds,623370.158,459.321,623829.479,3,2001,2,2001,1,1,31
2001/2/28,Marketable,Bonds,631024.385,459.321,631482.706,3,2001,2,2001,1,2,28
2001/3/31,Marketable,Bonds,627509.778,459.321,627969.099,3,2001,2,2001,1,3,31
2001/4/30,Marketable,Bonds,622497.752,459.321,622957.073,3,2001,3,2001,2,4,30
2001/5/31,Marketable,Bonds,618263.695,459.321,618723.016,3,2001,3,2001,2,5,31
2001/6/30,Marketable,Bonds,616496.241,459.321,616955.562,3,2001,3,2001,2,6,30
2001/7/31,Marketable,Bonds,612243.839,459.321,612703.16,3,2001,4,2001,3,7,31
2001/8/31,Marketable,Bonds,612541.834,459.321,613001.155,3,2001,4,2001,3,8,31
2001/9/30,Marketable,Bonds,612529.574,459.321,612988.895,3,2001,4,2001,3,9,30
2001/10/31,Marketable,Bonds,610022.795,459.321,610482.116,3,2002,1,2001,4,10,31
2001/11/30,Marketable,Bonds,606558.967,459.321,607018.288,3,2002,1,2001,4,11,30
2001/12/31,Marketable,Bonds,602271.86,459.321,602731.181,3,2002,1,2001,4,12,31
2002/1/31,Marketable,Bonds,602270.767,459.321,602730.088,3,2002,2,2002,1,1,31
2002/2/28,Marketable,Bonds,596364.597,459.321,596823.918,3,2002,2,2002,1,2,28
2002/3/31,Marketable,Bonds,596325.15,459.321,596784.471,3,2002,2,2002,1,3,31
2002/4/30,Marketable,Bonds,592710.0003,309.921,593019.9213,3,2002,3,2002,2,4,30
2002/5/31,Marketable,Bonds,592705.4819,309.921,593015.4029,3,2002,3,2002,2,5,31
2002/6/30,Marketable,Bonds,592704.369,309.921,593014.29,3,2002,3,2002,2,6,30
2002/7/31,Marketable,Bonds,592701.788,309.921,593011.709,3,2002,4,2002,3,7,31
2002/8/31,Marketable,Bonds,592698.788,309.921,593008.709,3,2002,4,2002,3,8,31
2002/9/30,Marketable,Bonds,592694.88,309.921,593004.801,3,2002,4,2002,3,9,30
2002/10/31,Marketable,Bonds,592689.016,309.921,592998.937,3,2003,1,2002,4,10,31
2002/11/30,Marketable,Bonds,588464.944,309.921,588774.865,3,2003,1,2002,4,11,30
2002/12/31,Marketable,Bonds,588450.369,309.921,588760.29,3,2003,1,2002,4,12,31
2003/1/31,Marketable,Bonds,588445.534,309.921,588755.455,3,2003,2,2003,1,1,31
2003/2/28,Marketable,Bonds,585445.716,309.921,585755.637,3,2003,2,2003,1,2,28
2003/3/31,Marketable,Bonds,585440.351,309.921,585750.272,3,2003,2,2003,1,3,31
2003/4/30,Marketable,Bonds,585436.438,309.921,585746.359,3,2003,3,2003,2,4,30
2003/5/31,Marketable,Bonds,582200.5835,309.921,582510.5045,3,2003,3,2003,2,5,31
2003/6/30,Marketable,Bonds,582197.033,309.894,582506.927,3,2003,3,2003,2,6,30
2003/7/31,Marketable,Bonds,582194.024,309.921,582503.945,3,2003,4,2003,3,7,31
2003/8/31,Marketable,Bonds,576600.501,309.921,576910.422,3,2003,4,2003,3,8,31
2003/9/30,Marketable,Bonds,576590.3074,309.921,576900.2284,3,2003,4,2003,3,9,30
2003/10/31,Marketable,Bonds,576586.043,309.921,576895.964,3,2004,1,2003,4,10,31
2003/11/30,Marketable,Bonds,564199.04,232.221,564431.261,3,2004,1,2003,4,11,30
2003/12/31,Marketable,Bonds,564186.003,232.221,564418.224,3,2004,1,2003,4,12,31
2004/1/31,Marketable,Bonds,564179.9081,232.221,564412.1291,3,2004,2,2004,1,1,31
2004/2/29,Marketable,Bonds,564174.314,232.221,564406.535,3,2004,2,2004,1,2,29
2004/3/31,Marketable,Bonds,564170.526,232.221,564402.747,3,2004,2,2004,1,3,31
2004/4/30,Marketable,Bonds,564168.8098,232.221,564401.0308,3,2004,3,2004,2,4,30
2004/5/31,Marketable,Bonds,555933.7708,140.671,556074.4418,3,2004,3,2004,2,5,31
2004/6/30,Marketable,Bonds,555923.0633,140.671,556063.7343,3,2004,3,2004,2,6,30
2004/7/31,Marketable,Bonds,555915.7152,140.671,556056.3862,3,2004,4,2004,3,7,31
2004/8/31,Marketable,Bonds,551909.586,140.671,552050.257,3,2004,4,2004,3,8,31
2004/9/30,Marketable,Bonds,551904.1454,140.671,552044.8164,3,2004,4,2004,3,9,30
2004/10/31,Marketable,Bonds,551902.107,140.671,552042.778,3,2005,1,2004,4,10,31
2004/11/30,Marketable,Bonds,539414.588,140.644,539555.232,3,2005,1,2004,4,11,30
2004/12/31,Marketable,Bonds,539406.499,140.644,539547.143,3,2005,1,2004,4,12,31
2005/1/31,Marketable,Bonds,539401.722,141,539542.722,3,2005,2,2005,1,1,31
2005/2/28,Marketable,Bonds,537234.023,0,537234.023,3,2005,2,2005,1,2,28
2005/3/31,Marketable,Bonds,537057.6048,171.035,537228.6398,3,2005,2,2005,1,3,31
2005/4/30,Marketable,Bonds,537069.766,155.435,537225.201,3,2005,3,2005,2,4,30
2005/5/31,Marketable,Bonds,529909.957,158.922,530068.879,3,2005,3,2005,2,5,31
2005/6/30,Marketable,Bonds,529746.3844,235.485,529981.8694,3,2005,3,2005,2,6,30
2005/7/31,Marketable,Bonds,529767.632,208.556,529976.188,3,2005,4,2005,3,7,31
2005/8/31,Marketable,Bonds,520501.992,205.882,520707.874,3,2005,4,2005,3,8,31
2005/9/30,Marketable,Bonds,520506.909,196.555,520703.464,3,2005,4,2005,3,9,30
2005/10/31,Marketable,Bonds,520490.6757,211.087,520701.7627,3,2006,1,2005,4,10,31
2005/11/30,Marketable,Bonds,516430.312,196.689,516627.001,3,2006,1,2005,4,11,30
2005/12/31,Marketable,Bonds,516424.5707,196.428,516620.9987,3,2006,1,2005,4,12,31
2006/1/31,Marketable,Bonds,516418.0072,200.797,516618.8042,3,2006,2,2006,1,1,31
2006/2/28,Marketable,Bonds,526498.3217,218.161,526716.4827,3,2006,2,2006,1,2,28
2006/3/31,Marketable,Bonds,526501.3836,202.276,526703.6596,3,2006,2,2006,1,3,31
2006/4/30,Marketable,Bonds,526510.1804,191.576,526701.7564,3,2006,3,2006,2,4,30
2006/5/31,Marketable,Bonds,522965.4294,200.48,523165.9094,3,2006,3,2006,2,5,31
2006/6/30,Marketable,Bonds,522923.7074,233.325,523157.0324,3,2006,3,2006,2,6,30
2006/7/31,Marketable,Bonds,522918.2789,237.357,523155.6359,3,2006,4,2006,3,7,31
2006/8/31,Marketable,Bonds,534472.8658,237.92,534710.7858,3,2006,4,2006,3,8,31
2006/9/30,Marketable,Bonds,534473.3133,236.571,534709.8843,3,2006,4,2006,3,9,30
2006/10/31,Marketable,Bonds,534471.6603,237.451,534709.1113,3,2007,1,2006,4,10,31
2006/11/30,Marketable,Bonds,530439.1742,255.196,530694.3702,3,2007,1,2006,4,11,30
2006/12/31,Marketable,Bonds,530547.6302,134.403,530682.0332,3,2007,1,2006,4,12,31
2007/1/31,Marketable,Bonds,530550.0907,125.73,530675.8207,3,2007,2,2007,1,1,31
2007/2/28,Marketable,Bonds,540363.1042,133.845,540496.9492,3,2007,2,2007,1,2,28
2007/3/31,Marketable,Bonds,540372.1282,122.929,540495.0572,3,2007,2,2007,1,3,31
2007/4/30,Marketable,Bonds,540398.1292,96.018,540494.1472,3,2007,3,2007,2,4,30
2007/5/31,Marketable,Bonds,547151.2251,105.4,547256.6251,3,2007,3,2007,2,5,31
2007/6/30,Marketable,Bonds,547131.369,123.893,547255.262,3,2007,3,2007,2,6,30
2007/7/31,Marketable,Bonds,547033.022,220.555,547253.577,3,2007,4,2007,3,7,31
2007/8/31,Marketable,Bonds,560908.4195,190.238,561098.6575,3,2007,4,2007,3,8,31
2007/9/30,Marketable,Bonds,560921.8385,176.312,561098.1505,3,2007,4,2007,3,9,30
2007/10/31,Marketable,Bonds,560936.603,160,561097.603,3,2008,1,2007,4,10,31
2007/11/30,Marketable,Bonds,558444.7229,97,558541.7229,3,2008,1,2007,4,11,30
2007/12/31,Marketable,Bonds,558446.9119,90.923,558537.8349,3,2008,1,2007,4,12,31
2008/1/31,Marketable,Bonds,558444.7474,92.031,558536.7784,3,2008,2,2008,1,1,31
2008/2/29,Marketable,Bonds,571736.1924,94.208,571830.4004,3,2008,2,2008,1,2,29
2008/3/31,Marketable,Bonds,571738.0504,91.549,571829.5994,3,2008,2,2008,1,3,31
2008/4/30,Marketable,Bonds,571759.6929,69.229,571828.9219,3,2008,3,2008,2,4,30
2008/5/31,Marketable,Bonds,580983.2056,76,581059.2056,3,2008,3,2008,2,5,31
2008/6/30,Marketable,Bonds,580994.8716,64,581058.8716,3,2008,3,2008,2,6,30
2008/7/31,Marketable,Bonds,580981.9603,75.8078,581057.7681,3,2008,4,2008,3,7,31
2008/8/31,Marketable,Bonds,582815.1345,59,582874.1345,3,2008,4,2008,3,8,31
2008/9/30,Marketable,Bonds,578503.5363,4368,582871.5363,3,2008,4,2008,3,9,30
2008/10/31,Marketable,Bonds,578915.3733,3955,582870.3733,3,2009,1,2008,4,10,31
2008/11/30,Marketable,Bonds,591491.6771,3149,594641.6771,3,2009,1,2008,4,11,30
2008/12/31,Marketable,Bonds,591867.0812,2774.061773,594641.143,3,2009,1,2008,4,12,31
2009/1/31,Marketable,Bonds,591889.5469,2751.315076,594640.862,3,2009,2,2009,1,1,31
2009/2/28,Marketable,Bonds,606670.2337,2682.938313,609353.172,3,2009,2,2009,1,2,28
2009/3/31,Marketable,Bonds,617627.5129,2920.923423,620548.4363,3,2009,2,2009,1,3,31
2009/4/30,Marketable,Bonds,618353.0993,2195.1678,620548.2671,3,2009,3,2009,2,4,30
2009/5/31,Marketable,Bonds,631734.3399,811.5938,632545.9337,3,2009,3,2009,2,5,31
2009/6/30,Marketable,Bonds,642050.3618,1609.9508,643660.3126,3,2009,3,2009,2,6,30
2009/7/31,Marketable,Bonds,653069.4044,1775.959,654845.3634,3,2009,4,2009,3,7,31
2009/8/31,Marketable,Bonds,665743.8283,2032.375,667776.2033,3,2009,4,2009,3,8,31
2009/9/30,Marketable,Bonds,677490.8674,2309.171,679800.0384,3,2009,4,2009,3,9,30
2009/10/31,Marketable,Bonds,689020.6027,2867.056,691887.6587,3,2010,1,2009,4,10,31
2009/11/30,Marketable,Bonds,701634.0488,3227.823,704861.8718,3,2010,1,2009,4,11,30
2009/12/31,Marketable,Bonds,714672.1283,3259.052,717931.1803,3,2010,1,2009,4,12,31
2010/1/31,Marketable,Bonds,727748.6538,3687.089,731435.7428,3,2010,2,2010,1,1,31
2010/2/28,Marketable,Bonds,745399.6946,3832.596,749232.2906,3,2010,2,2010,1,2,28
2010/3/31,Marketable,Bonds,758780.8962,3605.072,762385.9682,3,2010,2,2010,1,3,31
2010/4/30,Marketable,Bonds,772541.9494,3795.5162,776337.4656,3,2010,3,2010,2,4,30
2010/5/31,Marketable,Bonds,789716.7451,4014.6692,793731.4143,3,2010,3,2010,2,5,31
2010/6/30,Marketable,Bonds,802589.1767,4216.5562,806805.7329,3,2010,3,2010,2,6,30
2010/7/31,Marketable,Bonds,815695.746,4113.488,819809.234,3,2010,4,2010,3,7,31
2010/8/31,Marketable,Bonds,832775.0243,3992.344,836767.3683,3,2010,4,2010,3,8,31
2010/9/30,Marketable,Bonds,846054.2825,3853.3048,849907.5873,3,2010,4,2010,3,9,30
2010/10/31,Marketable,Bonds,859205.5248,3816.3828,863021.9076,3,2011,1,2010,4,10,31
2010/11/30,Marketable,Bonds,875646.1353,3804.6338,879450.7691,3,2011,1,2010,4,11,30
2010/12/31,Marketable,Bonds,888428.5901,4211.0468,892639.6369,3,2011,1,2010,4,12,31
2011/1/31,Marketable,Bonds,901966.7037,3957.8,905924.5037,3,2011,2,2011,1,1,31
2011/2/28,Marketable,Bonds,918418.0085,3872.5,922290.5085,3,2011,2,2011,1,2,28
2011/3/31,Marketable,Bonds,931474.1711,3815,935289.1711,3,2011,2,2011,1,3,31
2011/4/30,Marketable,Bonds,945100.4643,3828.488,948928.9523,3,2011,3,2011,2,4,30
2011/5/31,Marketable,Bonds,961175.6472,3753.2,964928.8472,3,2011,3,2011,2,5,31
2011/6/30,Marketable,Bonds,974150.2478,3774,977924.2478,3,2011,3,2011,2,6,30
2011/7/31,Marketable,Bonds,986819.312,4104.8344,990924.1464,3,2011,4,2011,3,7,31
2011/8/31,Marketable,Bonds,1003416.81,3997.0854,1007413.895,3,2011,4,2011,3,8,31
2011/9/30,Marketable,Bonds,1016407.347,4005.5074,1020412.854,3,2011,4,2011,3,9,30
2011/10/31,Marketable,Bonds,1029426.376,3986.2704,1033412.646,3,2012,1,2011,4,10,31
2011/11/30,Marketable,Bonds,1046715.064,3921.6914,1050636.755,3,2012,1,2011,4,11,30
2011/12/31,Marketable,Bonds,1060111.244,4001.084,1064112.328,3,2012,1,2011,4,12,31
2012/1/31,Marketable,Bonds,1073882.796,4151.794,1078034.59,3,2012,2,2012,1,1,31
2012/2/29,Marketable,Bonds,1091968.031,4017.3472,1095985.378,3,2012,2,2012,1,2,29
2012/3/31,Marketable,Bonds,1105889.781,3998.2557,1109888.036,3,2012,2,2012,1,3,31
2012/4/30,Marketable,Bonds,1121252.247,4001.226,1125253.473,3,2012,3,2012,2,4,30
2012/5/31,Marketable,Bonds,1138296.676,3957.792,1142254.468,3,2012,3,2012,2,5,31
2012/6/30,Marketable,Bonds,1152799.956,3372.254,1156172.21,3,2012,3,2012,2,6,30
2012/7/31,Marketable,Bonds,1165649.62,3522.32,1169171.94,3,2012,4,2012,3,7,31
2012/8/31,Marketable,Bonds,1181747.957,3424.16,1185172.117,3,2012,4,2012,3,8,31
2012/9/30,Marketable,Bonds,1194715.404,3451.89,1198167.294,3,2012,4,2012,3,9,30
2012/10/31,Marketable,Bonds,1207849.065,3318.14,1211167.205,3,2013,1,2012,4,10,31
2012/11/30,Marketable,Bonds,1223858.228,3303.95,1227162.178,3,2013,1,2012,4,11,30
2012/12/31,Marketable,Bonds,1236668.666,3492.47,1240161.136,3,2013,1,2012,4,12,31
2013/1/31,Marketable,Bonds,1249625.282,3535.83,1253161.112,3,2013,2,2013,1,1,31
2013/2/28,Marketable,Bonds,1265672.62,3488.25,1269160.87,3,2013,2,2013,1,2,28
2013/3/31,Marketable,Bonds,1278669.82,3491.0083,1282160.829,3,2013,2,2013,1,3,31
2013/4/30,Marketable,Bonds,1291619.003,3541.6803,1295160.683,3,2013,3,2013,2,4,30
2013/5/31,Marketable,Bonds,1307774.076,3386.5023,1311160.579,3,2013,3,2013,2,5,31
2013/6/30,Marketable,Bonds,1320621.529,3538.9313,1324160.46,3,2013,3,2013,2,6,30
2013/7/31,Marketable,Bonds,1333834.21,3325.3263,1337159.536,3,2013,4,2013,3,7,31
2013/8/31,Marketable,Bonds,1350078.502,3079.8503,1353158.352,3,2013,4,2013,3,8,31
2013/9/30,Marketable,Bonds,1363114.022,3044.249,1366158.271,3,2013,4,2013,3,9,30
2013/10/31,Marketable,Bonds,1379098.636,59.598,1379158.234,3,2014,1,2013,4,10,31
2013/11/30,Marketable,Bonds,1395101.228,52.015,1395153.243,3,2014,1,2013,4,11,30
2013/12/31,Marketable,Bonds,1408109.593,43.345,1408152.938,3,2014,1,2013,4,12,31
2014/1/31,Marketable,Bonds,1421109.685,43.255,1421152.94,3,2014,2,2014,1,1,31
2014/2/28,Marketable,Bonds,1437113.305,39.271,1437152.576,3,2014,2,2014,1,2,28
2014/3/31,Marketable,Bonds,1450113.658,38.929,1450152.587,3,2014,2,2014,1,3,31
2014/4/30,Marketable,Bonds,1463106.924,45.594,1463152.518,3,2014,3,2014,2,4,30
2014/5/31,Marketable,Bonds,1479103.682,43.967,1479147.649,3,2014,3,2014,2,5,31
2014/6/30,Marketable,Bonds,1492099.864,47.721,1492147.585,3,2014,3,2014,2,6,30
2014/7/31,Marketable,Bonds,1505091.01,53.543,1505144.553,3,2014,4,2014,3,7,31
2014/8/31,Marketable,Bonds,1521087.536,56.899,1521144.435,3,2014,4,2014,3,8,31
2014/9/30,Marketable,Bonds,1534068.519,75.922,1534144.441,3,2014,4,2014,3,9,30
2014/10/31,Marketable,Bonds,1547072.776,71.625,1547144.401,3,2015,1,2014,4,10,31
2014/11/30,Marketable,Bonds,1563086.184,79.602,1563165.786,3,2015,1,2014,4,11,30
2014/12/31,Marketable,Bonds,1576086.725,79.067,1576165.792,3,2015,1,2014,4,12,31
2015/1/31,Marketable,Bonds,1589088.336,76.922,1589165.258,3,2015,2,2015,1,1,31
2015/2/28,Marketable,Bonds,1594569.95,78.274,1594648.224,3,2015,2,2015,1,2,28
2015/3/31,Marketable,Bonds,1607585.267,61.701,1607646.968,3,2015,2,2015,1,3,31
2015/4/30,Marketable,Bonds,1620594.552,51.4598,1620646.012,3,2015,3,2015,2,4,30
2015/5/31,Marketable,Bonds,1636949.922,57.772,1637007.694,3,2015,3,2015,2,5,31
2015/6/30,Marketable,Bonds,1649925.197,82.145,1650007.342,3,2015,3,2015,2,6,30
2015/7/31,Marketable,Bonds,1662888.575,118.751,1663007.326,3,2015,4,2015,3,7,31
2015/8/31,Marketable,Bonds,1675201.321,104.72,1675306.041,3,2015,4,2015,3,8,31
2015/9/30,Marketable,Bonds,1688208.178,97.028,1688305.206,3,2015,4,2015,3,9,30
2015/10/31,Marketable,Bonds,1699231.035,2073.846,1701304.881,3,2016,1,2015,4,10,31
2015/11/30,Marketable,Bonds,1711698.185,104.316,1711802.501,3,2016,1,2015,4,11,30
2015/12/31,Marketable,Bonds,1724692.149,110.019,1724802.168,3,2016,1,2015,4,12,31
2016/1/31,Marketable,Bonds,1737697.509,99.445,1737796.954,3,2016,2,2016,1,1,31
2016/2/29,Marketable,Bonds,1748434.893,106.636,1748541.529,3,2016,2,2016,1,2,29
2016/3/31,Marketable,Bonds,1760426.908,112.695,1760539.603,3,2016,2,2016,1,3,31
2016/4/30,Marketable,Bonds,1772499.909,118.049,1772617.958,3,2016,3,2016,2,4,30
2016/5/31,Marketable,Bonds,1772075.049,121.717,1772196.766,3,2016,3,2016,2,5,31
2016/6/30,Marketable,Bonds,1784037.757,154.044,1784191.801,3,2016,3,2016,2,6,30
2016/7/31,Marketable,Bonds,1796813.642,157.741,1796971.383,3,2016,4,2016,3,7,31
2016/8/31,Marketable,Bonds,1813340.354,166.849,1813507.203,3,2016,4,2016,3,8,31
2016/9/30,Marketable,Bonds,1825338.333,168.713,1825507.046,3,2016,4,2016,3,9,30
2016/10/31,Marketable,Bonds,1837331.04,174.307,1837505.347,3,2017,1,2016,4,10,31
2016/11/30,Marketable,Bonds,1836816.317,185.202,1837001.519,3,2017,1,2016,4,11,30
2016/12/31,Marketable,Bonds,1848817.413,183.983,1849001.396,3,2017,1,2016,4,12,31
2017/1/31,Marketable,Bonds,1861476.764,189.435,1861666.199,3,2017,2,2017,1,1,31
2017/2/28,Marketable,Bonds,1878200.089,197.793,1878397.882,3,2017,2,2017,1,2,28
2017/3/31,Marketable,Bonds,1890157.844,239.69,1890397.534,3,2017,2,2017,1,3,31
2017/4/30,Marketable,Bonds,1902274.507,221.58,1902496.087,3,2017,3,2017,2,4,30
2017/5/31,Marketable,Bonds,1906667.006,220.397,1906887.403,3,2017,3,2017,2,5,31
2017/6/30,Marketable,Bonds,1918661.358,225.541,1918886.899,3,2017,3,2017,2,6,30
2017/7/31,Marketable,Bonds,1930927.887,232.349,1931160.236,3,2017,4,2017,3,7,31
2017/8/31,Marketable,Bonds,1936399.709,3305.3009,1939705.01,3,2017,4,2017,3,8,31
2017/9/30,Marketable,Bonds,1948414.256,3290.5509,1951704.806,3,2017,4,2017,3,9,30
2017/10/31,Marketable,Bonds,1960409.907,3294.0409,1963703.948,3,2018,1,2017,4,10,31
2017/11/30,Marketable,Bonds,1977262.907,3262.1037,1980525.011,3,2018,1,2017,4,11,30
2017/12/31,Marketable,Bonds,1989230.825,3293.2359,1992524.061,3,2018,1,2017,4,12,31
2018/1/31,Marketable,Bonds,2001727.321,3202.4029,2004929.724,3,2018,2,2018,1,1,31
2018/2/28,Marketable,Bonds,2020732.612,3219.2052,2023951.817,3,2018,2,2018,1,2,28
2018/3/31,Marketable,Bonds,2033787.401,3164.3781,2036951.779,3,2018,2,2018,1,3,31
2018/4/30,Marketable,Bonds,2042166.223,7807.7192,2049973.943,3,2018,3,2018,2,4,30
2018/5/31,Marketable,Bonds,2052472.626,11882.036,2064354.662,3,2018,3,2018,2,5,31
2018/6/30,Marketable,Bonds,2066743.125,11611.4248,2078354.55,3,2018,3,2018,2,6,30
2018/7/31,Marketable,Bonds,2080147.089,12260.7801,2092407.869,3,2018,4,2018,3,7,31
2018/8/31,Marketable,Bonds,2099970.334,12852.2406,2112822.575,3,2018,4,2018,3,8,31
2018/9/30,Marketable,Bonds,2114982.477,12840.0558,2127822.533,3,2018,4,2018,3,9,30
2018/10/31,Marketable,Bonds,2129632.856,13189.4088,2142822.264,3,2019,1,2018,4,10,31
2018/11/30,Marketable,Bonds,2145312.641,13208.5321,2158521.173,3,2019,1,2018,4,11,30
2018/12/31,Marketable,Bonds,2161472.072,13049.063,2174521.135,3,2019,1,2018,4,12,31
2019/1/31,Marketable,Bonds,2177714.733,12800.975,2190515.708,3,2019,2,2019,1,1,31
2019/2/28,Marketable,Bonds,2187909.022,13090.7814,2200999.803,3,2019,2,2019,1,2,28
2019/3/31,Marketable,Bonds,2203850.017,13149.5906,2216999.608,3,2019,2,2019,1,3,31
2019/4/30,Marketable,Bonds,2222584.008,10417.5566,2233001.564,3,2019,3,2019,2,4,30
2019/5/31,Marketable,Bonds,2247948.989,10525.063,2258474.052,3,2019,3,2019,2,5,31
2019/6/30,Marketable,Bonds,2266020.179,8453.4637,2274473.643,3,2019,3,2019,2,6,30
2019/7/31,Marketable,Bonds,2282191.208,8418.4299,2290609.638,3,2019,4,2019,3,7,31
2019/8/31,Marketable,Bonds,2294495.719,8571.4831,2303067.202,3,2019,4,2019,3,8,31
2019/9/30,Marketable,Bonds,2311516.722,7548.2667,2319064.988,3,2019,4,2019,3,9,30
2019/10/31,Marketable,Bonds,2329495.881,5568.906,2335064.787,3,2020,1,2019,4,10,31
2019/11/30,Marketable,Bonds,2357221.292,5837.1336,2363058.426,3,2020,1,2019,4,11,30
2019/12/31,Marketable,Bonds,2373512.972,5544.2624,2379057.235,3,2020,1,2019,4,12,31
2020/1/31,Marketable,Bonds,2390076.11,5492.7337,2395568.844,3,2020,2,2020,1,1,31
2020/2/29,Marketable,Bonds,2408017.043,5525.005,2413542.048,3,2020,2,2020,1,2,29
2020/3/31,Marketable,Bonds,2424352.707,5204.4822,2429557.189,3,2020,2,2020,1,3,31
2020/4/30,Marketable,Bonds,2441632.251,4980.8687,2446613.12,3,2020,3,2020,2,4,30
2020/5/31,Marketable,Bonds,2467632.19,5033.4901,2472665.681,3,2020,3,2020,2,5,31
2020/6/30,Marketable,Bonds,2528443.718,4916.9258,2533360.644,3,2020,3,2020,2,6,30
2020/7/31,Marketable,Bonds,2567980.571,4978.7562,2572959.327,3,2020,4,2020,3,7,31
2020/8/31,Marketable,Bonds,2619323.338,5212.0582,2624535.396,3,2020,4,2020,3,8,31
2020/9/30,Marketable,Bonds,2668116.12,5376.6729,2673492.792,3,2020,4,2020,3,9,30
2020/10/31,Marketable,Bonds,2691618.335,5517.8298,2697136.165,3,2021,1,2020,4,10,31
2020/11/30,Marketable,Bonds,2781069.192,5550.0978,2786619.289,3,2021,1,2020,4,11,30
2020/12/31,Marketable,Bonds,2833624.802,5668.1018,2839292.904,3,2021,1,2020,4,12,31
2021/1/31,Marketable,Bonds,2859903.313,5802.1768,2865705.49,3,2021,2,2021,1,1,31
2021/2/28,Marketable,Bonds,2913929.476,5738.9135,2919668.39,3,2021,2,2021,1,2,28
2021/3/31,Marketable,Bonds,3000423.407,5891.1185,3006314.526,3,2021,2,2021,1,3,31
2021/4/30,Marketable,Bonds,3056508.713,6073.5295,3062582.242,3,2021,3,2021,2,4,30
2021/5/31,Marketable,Bonds,3087149.401,6689.6865,3093839.087,3,2021,3,2021,2,5,31
2021/6/30,Marketable,Bonds,3173226.338,6702.2495,3179928.587,3,2021,3,2021,2,6,30
2021/7/31,Marketable,Bonds,3201102.477,6777.0535,3207879.53,3,2021,4,2021,3,7,31
2021/8/31,Marketable,Bonds,3287357.475,6752.1723,3294109.648,3,2021,4,2021,3,8,31
2021/9/30,Marketable,Bonds,3340760.233,6795.2563,3347555.489,3,2021,4,2021,3,9,30
2021/10/31,Marketable,Bonds,3365745.299,7615.0675,3373360.367,3,2022,1,2021,4,10,31
2021/11/30,Marketable,Bonds,3426187.935,7337.3925,3433525.328,3,2022,1,2021,4,11,30
2021/12/31,Marketable,Bonds,3474153.379,7357.9765,3481511.355,3,2022,1,2021,4,12,31
2022/1/31,Marketable,Bonds,3522479.459,7549.9745,3530029.433,3,2022,2,2022,1,1,31
2022/2/28,Marketable,Bonds,3581504.05,7691.5634,3589195.613,3,2022,2,2022,1,2,28
2022/3/31,Marketable,Bonds,3623927.982,7578.4495,3631506.431,3,2022,2,2022,1,3,31
2022/4/30,Marketable,Bonds,3650002.056,6275.2185,3656277.274,3,2022,3,2022,2,4,30
2022/5/31,Marketable,Bonds,3725316.691,6115.4645,3731432.155,3,2022,3,2022,2,5,31
2022/6/30,Marketable,Bonds,3760441.602,6178.2195,3766619.822,3,2022,3,2022,2,6,30
2022/7/31,Marketable,Bonds,3781547.801,6493.6315,3788041.432,3,2022,4,2022,3,7,31
2022/8/31,Marketable,Bonds,3837714.758,6638.0155,3844352.773,3,2022,4,2022,3,8,31
2022/9/30,Marketable,Bonds,3867671.654,6680.4895,3874352.143,3,2022,4,2022,3,9,30
2022/10/31,Marketable,Bonds,3897465.224,6875.0515,3904340.275,3,2023,1,2022,4,10,31
2022/11/30,Marketable,Bonds,3934877.79,7011.6605,3941889.451,3,2023,1,2022,4,11,30
2022/12/31,Marketable,Bonds,3952657.979,7215.6275,3959873.606,3,2023,1,2022,4,12,31
2023/1/31,Marketable,Bonds,3994729.948,7131.7605,4001861.708,3,2023,2,2023,1,1,31
2023/2/28,Marketable,Bonds,4026597.144,7096.9704,4033694.114,3,2023,2,2023,1,2,28
2023/3/31,Marketable,Bonds,4056720.668,6972.9905,4063693.659,3,2023,2,2023,1,3,31
2023/4/30,Marketable,Bonds,4075797.489,7027.5335,4082825.022,3,2023,3,2023,2,4,30
2023/5/31,Marketable,Bonds,4133645.388,6858.1425,4140503.53,3,2023,3,2023,2,5,31
2023/6/30,Marketable,Bonds,4163696.832,6805.3735,4170502.205,3,2023,3,2023,2,6,30
2023/7/31,Marketable,Bonds,4193664.592,6686.2202,4200350.812,3,2023,4,2023,3,7,31
2023/8/31,Marketable,Bonds,4220197.861,6729.4072,4226927.268,3,2023,4,2023,3,8,31
2023/9/30,Marketable,Bonds,4240162.293,6763.986,4246926.279,3,2023,4,2023,3,9,30
2023/10/31,Marketable,Bonds,4286041.014,6884.4592,4292925.473,3,2024,1,2023,4,10,31
